subject,description,searched,problem
FactoryGirl sequence from an array of strings,How do you do it? I can't get it to work.,"FactoryGirl docs, stackoverflow",.
ER Diagram,Made Changes and Need Help,N/A,Want to talk through ER diagram.
Why won't this flash message show?,"After destroying an item, I want a flash message to show, but it's not showing for some reason. I'm pretty sure this is not another dumb syntax error on my part.",Active Record Guide (Basics),"I think maybe something is happening with the redirect and maybe with the logic on the index.html.erb page. I think there might need to be an if/else statement in there. This is what I've tried so far: This is my controller:

def destroy
    @menu_item = MenuItem.find(params[:id])
    @menu_item.destroy
    #notice: 'Menu item was successfully destroyed'
    #flash[:notice] = 'Menu item was successfully destroyed'
    #redirect_to menu_items_path, #notice: 'Menu item was successfully destroyed'
    #redirect_to menu_items_path, alert: 'Menu item was successfully destroyed'
  end

This is my view:

<h1>HERE IS THE MENU ITEM INDEX PAGE</h1>
<p class=""notice""><%= flash[:notice] %></p>
<%- menu_items.each do |menu_item| -%>
  <%= menu_item.name %>
  <button type=""button""> <%= ""Destroy #{menu_item.name}"" %> </button>
<%- end -%>"
Search Function,Writing a search function based on help from Sam yesterday but getting an 'input not found error',internetz,no idea...it was working on sam's computer yesterday!
Styling help,"I implemented an orbiter (rotating images) in my web app, but I can only see less than half of content. I am using several partial files and I think it's causing issues. ",Foundation orbit images,"Partial files might be causing an issue, but I am not sure."
getting capybara past a confirmation popup,How do I do it?,every corner of the internet,cabybara too stupid to know what to do?
Nested Resources,"Uninitialized constant application controller for nested resource.  I have two models, a business and a user, and I'm making a review model that is nested under businesses.  When my link is processed for a review, it goes to the correct path, but it's showing that Application Controller is uninitialized and routing error",google appollo,Application controller is uninitialized
Using Jquery to redirect from dropdown menu,"I have a list of all countries in a select_tag dropdown menu. When a user chooses a location and click 'go,' I want them to be redirected to the show page for that country.",Stack Overflow mostly. There's just so many different solutions and different iterations of the problem that I don't know what to choose. Everything I've tried so far as failed,"Unfortunately nothing at the moment. I can get to a new page using rails, but it doesn't have the proper path. With the jquery, when I hit submit, I simply redirect back to the location index page. I've tried to manually type the path I want to go to into my jquery script but that has also resulted in nothing happening, so I think the function itself is wrong."
Rspec not working,Group project question,N/A,N/A
Routing error,"I am getting ActionController::RoutingError No route matches [post]

This is my setup:
view file:  <td><%= button_to 'Edit', edit_ad_path(ad) %></td>

controller: def edit
    @ad = Ad.find(params[:id])
  end

  def update
    @ad = Ad.find(params[:id])
    if @ad.update_attributes(ad_params)
      flash[:notice] = 'Edited successfuly!'
      redirect_to ads_path
    else
      render 'edit'
    end
  end

routes.rb: 
resources :ads
","RAILS CRUD actions, edit and patch actions",I have no idea. I can't figure it out. 
Need help understanding the views on devise,"Trying to get an understanding of the devise views. My test is:

```
 scenario 'specifying valid and required information' do
    visit root_path
    user = FactoryGirl.create(:user)
    fill_in ""Email"", with: user.email
    fill_in ""Password"", with: user.password

    click_on ""Sign in""

    expect(page).to have_content(""You're In!"")
    expect(page).to have_content(""Sign Out"")

  end
```

","Devise, other projects, readings",It's either a flash notice issue or a views issue. I'm not sure where to put the confirmation messages. 
Put a form inside a show,I'm wanting to put a rating inside of my show.,"Stax, Guides","In my controller I would normally just have the create action add the rating, but since form is inside of the show action I'm not sure what to do."
Why am I over-writing my  Access Denied message?,"  scenario 'A Teacher can not create a School' do
     sign_in_as(FactoryGirl.create(:teacher))
     visit new_admin_school_path
     expect(page).to have_content('Access Denied')
  end

  Failure/Error: expect(page).to have_content('Access Denied')
       expected to find text ""Access Denied"" in ""Menu Sign In Sign Up You need to sign in or sign up before continuing.",N/A,https://gist.github.com/pdw207/10662041
api callback returning nil after post request,"callback works, except after post",rubymotion docs,"potentially a race condition, but I dont think thats the problem"
nested resources problem,"On my breakable toy, I keep getting an error message when I try to have a form on a dashboard.",google,The form is not formatted correctly. 
breakable toy - modifying self-associations in update action,"When editing a record, how to get rid of the old associations after saving the new ones, plus they aren't selected in the form.

(self-join table  + simple_form + some sketchy multi-select plugin = trouble)",everywhere,"tried a bunch of things in the controller, finally got the multi-select working in the create action, update still not working properly"
Tracing routes in console,Live site is looking for styling that doesn't exist. Works fine locally. Why?,Firebug,Herokuuuuuuuu
Shoulda matchers,"I have a user model and a podcast model. Podcast belongs to owner, class_name: :User, and has an owner_id column. User has_many :podcasts_added, class_name: :Podcast, source: :owner. This all works out fine when I test the associations in the rails console, but when I run my test (should have_many(:podcasts_added).source(:owner) ) it fails.","shoulda_matchers docs, stackoverflow",I think there must be a shoulda_matchers method I don't know about but I'm not finding it in the docs.
Internationalization questions (for Sam),"I am supposed to install gem 'rails-i18n', '~> 4.0.0', but it didn't do anything after bundling, so I am not sure if I am missing something. Can you pop over just for few mins?",Not applicable,Not applicable
Trait not registered: FactoryGirl,"When attempting to use a factory to test my unit tests, I get a trait not registered even though I've defined the trait. I've been using sam's help session from yesterday as a guide and as far as i can tell i've followed the process exactly. I'm sure there's something very obvious I'm missing","Sam's repo, Apollo, StackOverflow",I'm not correctly linking factories and their correlating traits 
undefined method `feature' for main:Object (NoMethodError),I keep running into this error......Don't know how to fix it.,I've searched a blog article about this problem and a stack overflow question,"The blog article and stack overflow question says that to fix it, all you need to do is type in require 'rspec_helper' but I already have it in there.

http://stackoverflow.com/questions/19715220/rspec-capybara-feature-method-undefined-when-guard-runs-specs-in-watched-files

http://www.moncefbelyamani.com/rspec-and-capybara-how-to-fix-undefined-method-feature-for-main-object-nomethoderror/"
"DogPark feedback, params & urls",Going over DogPark feedback; urls,"Apollo, http://guides.rubyonrails.org/routing.html","Nested params, configuring routes"
Changing name of our app,The name of our app was changed and this is creating problems in the server. We need help changing all of the individual file names for this. ,google,"We know the server is experiencing problems bc of the app name change, but we do not know how to fix it."
Changing name of our app,The name of our app was changed and this is creating problems in the server. We need help changing all of the individual file names for this. ,google,"We know the server is experiencing problems bc of the app name change, but we do not know how to fix it."
Using CSS selectors in Capybara,"  expect(page).to have_css('div.product_image')

It cannot find any matches, even though we have tons of divs with the class product_image.",https://gist.github.com/zhengjia/428105 + many more,I think we are using the CSS selector incorrectly. 
Github merging and pulling,Having trouble making our rails program current with the master branch,google,"Not sure, it seemed to pull correctly but some of the files are out of date"
"Test is failing, not sure why. ","Getting ""couldn't find LifeHack without an ID""

","rails guides, api, past assignments, readings",We think the issue is without our controller and paths. Not sure how to call path with the right variable. 
Removing Sublime Test 3 and Re-installing version 2,S.T. 3 does not seem to support partials.  I want help ensuring that I don't hose anything important and am able to retain my current settings.,"Apollo readings, google",No real problem.  Just want an EE's help for a couple of minutes to make sure I don't make a big mistake.
ca_ssl_cert for omnicontact with gmail,I set up my omnicontact gem to mine contacts from 3rd party systems using an Oauth system. It is getting to the callback and then failing when it looks at my ssl cert..,google ominicontact gem wiki,I am not authenticating my ssl cert
Ajax and Api integration with Filepicker,Trying to send ajax call once filepicker pic stored,"filepick docs, filepicker.store",don't understand how filepicker jquery methods work
Dan's internet is not working,Dan's internet is not working,Dan's internet is not working,Dan's internet is not working
Help!,"1) Help with Acceptance testing and not referencing the database
2) FactoryGirl, helping or hurting?
3) Testing one line in each loop in feature test
4) server error on search bar
5) referencing school through simple_form
6) Javascript library ideas - sortable divs and sliding
7) Foundation formating issues ""is blank"" errors not presenting.",Lots of googling,Each one has different story
error message at the accdptance test we can't figure out,we keep getting error message in our controller. We have nested resources and we may not have set up controller right,"apollo, stock overflow",Controller not working properly
Zipcode schema validation,"Please refer to the code in this gist:
https://gist.github.com/cg5544/10073597

In City's model, I have a zip_code field that I want to set constraint against. Zip code is typically 5 or 9 digits long with formats of ""02199"" or ""02199-1122"". I think this regex '^\d{5}(-\d{4})?$' works. I am trying to put the regex in my CreateCities migration file and it keeps failing.
",Setting constraints using regex in Postgresql/rails,"I think my syntax is wrong, so rails can't understand the constraint that I am trying to set. I spent almost a lot of time trying to get it work, but it just keeps failing. "
GMail and other https sites error message: 'Cannot connect to real Gmail.com',SSL encryption not working. Error type: HSTS failure.,can't really search! FML,yolo
flash won't show. I need an explanation once and for all why.,Once again my flash message won't show. I've copied it as is from Sam's Repo from the Dog's systemscheck. I need to know why it's not showing.,Sam's repo,I don't know anymore. I've tried all the different ways of doing it.
Foundation Error Messages not working,Eric said there was a formatting issue with the new foundation release relating to simple_form. My formatting is getting messed up.,simple form and foundation docs,N/A
JavaScript Leaflet API,"Getting an error for an undefined function, despite having code directly from the quick start guide.",Leaflet API,error executing the function. other parts of api working. 
JQuery,Working through readings - confused why I'm not getting an expected output,Readings - Retried the code,"Not sure why it's not displaying "" div #0 was found: confirmation-container
div #1 was found: undefined
div #2 was found: rating-container"" "
Errno::EPIPE: Broken pipe when trying to save new record wtf,that's the error in the browser when filling out new record form and clicking submit,stackoverflow,?
Interpreting a routes error,I'm having trouble interpreting and solving an error regarding my resources and capybara testing,There are no readings or articles to search for,"This is the error message I'm experiencing:

  Failure/Error: visit new_dogregistration_path
      ActionView::Template::Error:
         undefined method `dog_registrations_path' for #<#<Class:0x00000102d36bb8>:0x00000102d34188>
       # ./app/views/dogregistrations/new.html.erb:3:in   `_app_views_dogregistrations_new_html_erb__4019539035918138962_2171516500'
     # ./spec/features/dog_registration_spec.rb:18:in `block (2 levels) in <top (required)>'

There is obviously something wrong with my path but when I reference the line error I have my route correctly defined:

  scenario 'creates a valid dog registration with attributes' do
    dog_registration = DogRegistration.count
    visit new_dogregistration_path
    fill_in 'First Name', with: ""Daniel""
    fill_in 'Last Name', with: 'Rubio'
    fill_in 'Email Address', with: 'drubs@someemail.com'
    fill_in 'Dog Name', with: ""Rover""
    click_button ""Register Dog""

    expect(page).to have_content(""Dog successfully registered"")
    expect(page).to have_content(""Daniel"")
    expect(page).to have_content(""Rover"")
    expect(Dog.count).to eql(dog_registration + 1)
  end

My rake routes are correct too:

new_dogregistration GET    /dogregistrations/new(.:format)      dogregistrations#new"
rails install,"Having some issues with installing rails. gem install rails and sudo gem install rails  appeared to have installed fine, but when running rails new I am alerted that rails is not installed.",oracle,thinking that this could be a chruby issue?
Ajax post not working as expected,rails console says that latitude and longitude attributes are committed into the database but they aren't?,"ajax, stackoverflow",not sure
Algorithm for updating/deleting,I have a form that is being submitted that has contacts being persisted across the board for a join table. I want to be able to delete/update contacts that are passed back and forth,"google, activerecord api page",I want to know which one is best
Testing Associations in the Features Test,"I want to make sure the association went through on the backend, but I have no variable for ""review"" to refer to when testing the association. I created through filling out a form.",stackoverflow,"Maybe I am not supposed to test this association in teh features test?
"
Flash Messages,I was working on some reading and flash isn't coming up,"Apollo, Stax, googster","It's just displaying the word on the page, but not as a flash message. "
RVM apparently isn't working,New terminal windows default to system ruby (2.1.1) and completely ignore RVM's default (2.0.0) unless I run ```rvm use 2.0.0``` or ```rvm default```.,Googled: rvm not loading default,"Something to do with ZSH or PATH. I tried implementing some of the suggestions online and restarting the terminal, but to no avail."
Hooking up Carrier Wave to S3,"Did everything docs told us, but didnt work. Works without s3",carrierwave and fog github docs,not sure
Setting root paths with devise,"I want to set one root for signed_out users, and another for signed_in users.",stack overflow,"Also, my app isn't recognizing current_user for devise. I can't find what's wrong"
Testing for dependent destroy,"Should I test for this in a features test or a unit test? This also means I need to implement a destroy method for post that is directly linked to the poster and no one else. Is this necessary on my create a review branch, or should I do it on a different one?
","This is more of an opinion question, where no concrete answer on the internet.",I just want to make sure I go about this the right way since it's kind of complex.
Config Heroku to work with Unicorn,It looks like unicorn is a little complicated.,https://devcenter.heroku.com/articles/rails-unicorn,"When I push to heroku:

   No Procfile detected, using the default web server (webrick)
-----> Discovering process types
       Procfile declares types -> (none)
       Default types for Ruby  -> console, rake, web"
Implementing Pagination on the views page,"I am trying to set up Kaminari, but I don't know how to get the particular attributes I want onto my index page.",about 30 stack overflow articles.,I need some code in side the pagination block to make it display the appropriate attributes
Validate File Type in Model,"I'm currently running
```   
validates :avatar, format: { with: /\A*.png\z/,
    message: ""must be a url for gif, jpg, or png image."" }
```
However when I try and do
user.avatar =  'picture.png' 
it says, ""must be a url for gif, jpg, or png image."" ","google, stackoverflow, and more",I'm really unsure
uninitialized constant CarrierWave::Mount,"When running a test that has nothing to do with carrier wave, I get the error:

uninitialized constant CarrierWave::Mount (NameError)",uninitialized constant CarrierWave::Mount (NameError),I think Carrierwave needs to be required somewhere but unsure where... or my gem file needs to be organized differently
Sinatra Routes,I need to set my routes. ,"Previous work, google","```get '/' do

  erb :index
end
``` 
But it doesn't find it :( "
"fog/s3 not recognizing access key, images don't display in index",We got the images working and then had to change some things to write more tests. now the storage service can't be accessed at all ,"stackoverflow, github",.
HEROKU,"I added roots so that the site should open at rubberducker.herokuapp.com, and it works in the localhost. I also changed the heroku name to that website and deployed it, but it's just displaying ""Not Found"". ",Looked through heroku manuals and used stackoverflow,Maybe it can't find the index file?
Test and Production Different but How?,I have an error that is only showing in Production but works in development,n/a,I think there is some configuration that I am not doing correctly.
problems with rspec,There seems to be a problem with rspec:Install,google search,I have no idea
regular expressions,"I can't figure out how to make a matched character string case insensitive

Rubular is not helping and neither is google","Google, rubular, stack overflow","god only knows, it's a regex"
Devise and user controllers,There's a user table in our schema that makes new users but there's no user controller and I don't understand how that works. I can't make an admin path that uses it.,google,There's a user table in our schema that makes new users but there's no user controller and I don't understand how that works. I can't make an admin path that uses it.
Nokogiri install throwing clang errors,Capybara and Devise use conflicting versions of nokogiri .,clang errors,Capybara and Devise use conflicting versions of nokogiri .
Grouping entries by date,Uncertain which direction to take between ActiveRecord (group a model by date) or create new migration with date_created column that has_many Encounters.,http://www.pastbedti.me/2009/11/grouping-a-timestamp-field-by-date-in-ruby-on-rails-postgresql/,I want to aggregate data by date and not created_on timestamps for each Encounter.
Ajax,Trying to use Ajax and jquery to vote on stories and load a new story when the user clicks a button,"Jquery docs, jquery fundamentals, stackoverflow",I just can't get my head around it
Breakable Toy,Need feedback on the breakable toy.,Internet,N/A
"heroku not seeding DB correctly, lots of zeros and nils","works fine locally, heroku logs indicate errors caused by the nil values. tried heroku run rake db:migrate and heroku run rake db:seed, didn't help",kind of hard to search for,?
stuck dropdown list in simple_form,special dropdown list that allows multiple selection -- it doesn't drop down. ,stackoverflow,?
Put a form inside a show,I'm wanting to put a rating inside of my show. ,"Stax, Guides","In my controller I would normally just have the create action add the rating, but since form is inside of the show action I'm not sure what to do."
carrierwave multiple images,"not sure how to get multiple images up on a model, can only get one",google,something with my update controller action probably
creating self-referential associations in controller ,model has a self-relationship table to record matches with other items in the model. how do you capture a new entry's matches in the create and edit actions?,stackoverflow,.
AJAX post request getting executed for every click event,"ajax post request is getting executed for any click event, even though i only seem to instantiate the request one time, for one form?",ajax,above
Design question,"I wanted to talk to an EE about the design of my landing page. I have couple ideas, so I would like to get someone's opinions.

I also have couple HTML related questions. ",Design patterns/ideas,Not applicable. Just want to talk to an EE
Font Not So Awesome,can't seem to get assets loaded for font awesome on page load. ,docs stack,not sure
updating associations in form,"trying to update the attributes of a model in a form, but not sure where the association actions go in the controllers (i.e. on the main model controller or the association controller?)",google,just confused
Sublime 2 Possible OSX bug,My sublime text 2 is not updating the folder directory and I'm not sure how to fix this without utterly breaking everything,checkout the problem text box,"http://apple.stackexchange.com/questions/66612/why-dont-projects-folder-and-subfolders-dynamically-update-with-file-system-cha

http://stackoverflow.com/questions/14573567/sublime-text-2-files-wont-update"
"""URL Generation Error""","I have nested routes that have this setup:
resource :categories do
      resources  :ads do
end

I am getting an url generation error when the test gets to this line: visit new_category_ad_path

My questions are:
1. Should I be passed in both category and ad to that path or just category?
2. If only category is required, do I need to create a category instance beforehand and associate it to ad?

",Capybara testing with nested routes,"I am a bit confused when it comes to nested routes, so I would appreciate it if I could ask an EE few questions when I hit roadblock like this one. Thanks."
Rendering Associated JSON data,trying to render joined data from another model ,associated json data,unsure how to describe
Having trouble with Controller Paths," No route matches {:action=>""update"", :activity_id=>""1"", :controller=>""logs"", :id=>nil} missing required keys: [:id]

I want to go to the show page, so I don't know why it's talking about :action => update. Even when I try and redefine action in the link_to, it won't work.

  <div><%= link_to activity.name,  activity_path(activity), :method => :get%></div>",stackoverflow,I really have no idea at this point.
OAuth2::Error,"500: {""error"": 500} in session#create action when trying to authenticate with OmniAuth ","Google, Stack Overflow",Internal server error?
fatal: CRLF would be replaced by LF,"I'm not quite sure why this is happening, but it's pretty well documented online. I figured out how to fix it in my git config file, but i don't want to mess with it in case the fix will actually mess up something important. could use advice about what this is actually doing and trying to tell me so i can decide to overrule it or not.","Stack overflow, various blog posts, all over the internet",I'm not quite sure why it's happening but i know it's not uncommon and has an easy fix.
Google Maps API,"Trying to incorporate gmaps4rails in my app, followed the instructions from the READMe but doesn't seem to be working",google,would like some guidance on proper setup and where different files go
Breakable Toy Architecture Feedback,"My goal for today is to create a nested resource to create comments on music videos. i'm trying to implement the functionality of the feature, but I'm getting the feeling that I am not doing it correctly. I would like some feedback to ask if whether I'm going about this the wrong way to avoid major headaches later.",Agile Web Development with Rails 4,Need to discuss it.
FactoryGirl instances not persisted through test. Also questions on foundation and filtering,Let statement creates instances using FG. Second scenario doesn't see those instances.,documentation,"-dont know
-foundation is troublesome
-best practices question"
help testing devise / using factory girl,"Trying to figure out how to test devise, use factory girl with devise, and what exactly to test for when authenticating a user.  Devise is set up, and only a registered user can create, edit, or delete the information they created... but it's not tested... oops.  Help?  Mostly with factory girl and understanding what to validate, since I can't figure out how to generate a 301 page to deny access in development mode.","google, peers","I'm just not sure what to be testing, or how to properly implement factory girl

https://github.com/DMJr/breakable_toy_V0.2"
Resolving a show path error,I am trying to get my controller to route to a show page but for some reason it's not functioning properly.,http://stackoverflow.com/questions/20450541/stripe-actioncontrollerurlgenerationerror-no-route-matches-missing-requir,"I think that there is some sort of problem with the resources but it should be correct. The stackoverflow answer says to change resources to resource in the routes file but I get a whole new suite of errors from doing that.

routes.rb
  
  music_video GET    /music_videos/:id(.:format)    music_videos#show

controller.rb

  def show
    @music_video = MusicVideo.find(params[:id])
  end

  def create
    @music_video = MusicVideo.new(music_video_params)
    if @music_video.save
      flash[:notice] = ""Video Submitted""
      redirect_to 'music_videos/show'
    else
      render 'new'
    end
  end

  private
  def music_video_params
    params.require(:music_video).permit(:song_title, :venue, :location, :description, :url_id)
  end"
Carrierwave not playing nicely with isotope.js ,"when displaying images in the index page Carrierwave supplies an entire img tag with its own css . we want to control images with isotope instead, how do we just load the image filepaths into the view, so we can use them as background images for divs inside the isotope container?","stackoverflow, some design blog",?
Adding email ,"I'm not sure where to put      

''' UserMailer.signup_confirmation(@user).deliver '''

since the railscast that I am watching says to put it into users_controller.rb, but I am using devise and don't have a users_controller. 

","Apollo email track, stax, google","I think that it needs the action 

''' UserMailer.signup_confirmation(@user).deliver ''' 

after the save action, but devise doesn't have it in an obvious spot. "
Rubygem and Potentially Hackey Model,Curious about doing rubygem for ship it saturday. Created my own init method in a model,google,Just want to ask questions
Capybara not filling in forms when testing,"Trying to get a test running for filling up a registration using devise. 
```
scenario 'specifying valid and required information' do
    visit root_path
    click_link ""Sign Up""
    fill_in ""Name"", with: ""Bilbo Baggins""
    fill_in ""Username"", with: ""dragonburglar""
    fill_in ""Email"", with: ""dragonburglar@gmail.com""
    fill_in 'user_password', with: ""password""
    fill_in ""Password confirmation"", with: ""password""
    click_on ""Sign Up""

    expect(page).to have_content(""Welcome! You have signed up successfully."")
    expect(page).to have_content(""Sign Out"")
  end
```
Getting the error ","past assignments, stack overflow",Not sure. I have  validated uniqueness constraints in the schema and model  
Migration error,"I ran through this migration and something is wrong because I keep getting errors. Please help. Thanks.

class ChangeCategoryIdColumn < ActiveRecord::Migration
  def down
    rename_column :ads, :category_id, :category
    change_column :ads, :category, :string, null: false
  end
end
",Migration error/up/down methods,It looks like the migration did run but it has issues rolling back. I have no idea why.
Model generation,"I'm trying to generate a model that can help me to organize property information, and its giving me many errors.",rails model generator,missing files maybe the problem
Second div disapears when screen gets smaller,I am building my first parallax site and I'm using bootstrap for a grid system and the second div disappears when the screen gets smaller.  The site can be seen here: http://studio.generalassemb.ly/FEWD24/aphinizy/para/,bootstrap docs,Could be something with the background picture?
strong params question,Seems a little funny in my controller,N/A,"  def edit
    @request =  Request.find(params[:id])
  end

  def update
    @request =  Request.find(params[:id])
    @request.update(request_params)

    if @request.save
      redirect_to admin_schools_path, notice: 'Thank you for your response.'
    else
      flash.now[:warning] = 'Please review the information. The response has not finished.'
      render 'edit'
    end
  end

  private

  def request_params
    request_id = params.require(:id).to_i
    params.require(:request).permit(:status)
  end
"
Image is only showing a portion of the full image,I moved my website to a rails app so I can do some backend stuff. When I moved everything over the images that have no writing on them only show about 30px of the entire image....,http://stackoverflow.com/questions/16877353/rails-images-and-assets-not-being-loaded-properly,"Something to do with my CSS?

https://gist.github.com/Aphin715/10499174"
"Seeder not creating object, in pry I can manually walk through object creation","My validations are not allowing the seeder to create the objects, it says the attributes and not present as well as invalid",Active record validations / seeders,The data being fed in is not in the format it needs to be
Help with Scope,"  def active
    where(status: ""Active"", teacher: current_user)
  end

    it 'displays active courses' do
      course = FactoryGirl.build(:course, status: ""Inactive"")
      current_user = FactoryGirl.create(teacher)
      expect(Course.active).to eq(nil)
      expect(course).to eq(course)
    end",N/a,N/A
Deciding on Charting/Graphing Gem,I don't want to use chartkick because it's ugly.,https://github.com/topfunky/gruff <--- I like this one. it's pretty,"Any suggestions?? I have one I like, but I""m not sure if it's good."
Setting Up Grid Layouts in Foundation for Sign In/Out/Up and Content,We're trying to figure out the implementation for setting up a grid in our application.html file which configures the Sign In/Out/Up while unaffecting the content of our actual website,"Foundation Docs, stack overflow","The problem is that there is only one stylesheet from Foundation that is affecting our Devise Forms. However, we're thinking that maybe the solution is to create a separate stylesheet that tailors towards our content. This seems like a bad approach though."
Strange*ss redirect after an ajax post request,"after a successful json post, i'm getting the html redirect (specified in the controller) rather than the json callback.",not sure what to search for,.
Feedback on Breakable Toy,I need to feedback on the difficulty of implementing certain features for my breakable toy,N/A,"With the time given, I'm not sure that the features I want will be too complex."
change an admin boolean to a role (string)?,Not sure if I should change an existing admin field from boolean to string so I can specify whether a user is a member or an admin,"apollo readings, railscasts",I'm not sure if I should change the field now or risk running into problems later.
Cryptic Error Message for Devise Routes,I have this error message and its cryptic to me because I've made no changes to the line that the error message appears.,dan's video and readings about rake routes ,I've been following dan's video step by step on devise and I've been battling with cryptic error messages everystep of the way. Something is wrong with my devise.en.yml file and I'm not sure the rake routes are correct.
Help me with Lazy Loading!,"  User Load (0.6ms)  SELECT ""users"".* FROM ""users"" WHERE ""users"".""id"" = 1 ORDER BY ""users"".""id"" ASC LIMIT 1
  School Exists (0.4ms)  SELECT 1 AS one FROM ""schools"" WHERE ""schools"".""principal_id"" = $1 LIMIT 1  [[""principal_id"", 1]]
  Rendered home/_schools.html.erb (2.0ms)
  Request Exists (0.4ms)  SELECT 1 AS one FROM ""requests"" WHERE ""requests"".""teacher_id"" = $1 LIMIT 1  [[""teacher_id"", 1]]
  Request Load (0.2ms)  SELECT ""requests"".* FROM ""requests"" WHERE ""requests"".""teacher_id"" = $1  [[""teacher_id"", 1]]
  User Load (0.6ms)  SELECT ""users"".* FROM ""users"" WHERE ""users"".""id"" = $1 LIMIT 1  [[""id"", 2]]
  School Load (0.2ms)  SELECT ""schools"".* FROM ""schools"" WHERE ""schools"".""principal_id"" = $1  [[""principal_id"", 2]]
  CACHE (0.0ms)  SELECT ""users"".* FROM ""users"" WHERE ""users"".""id"" = $1 LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""schools"".* FROM ""schools"" WHERE ""schools"".""principal_id"" = $1  [[""principal_id"", 2]]
  User Load (0.5ms)  SELECT ""users"".* FROM ""users"" WHERE ""users"".""id"" = $1 LIMIT 1  [[""id"", 5]]
  School Load (0.3ms)  SELECT ""schools"".* FROM ""schools"" WHERE ""schools"".""principal_id"" = $1  [[""principal_id"", 5]]
  CACHE (0.0ms)  SELECT ""users"".* FROM ""users"" WHERE ""users"".""id"" = $1 LIMIT 1  [[""id"", 2]]
  CACHE (0.0ms)  SELECT ""schools"".* FROM ""schools"" WHERE ""schools"".""principal_id"" = $1  [[""principal_id"", 2]]",N/A,N/A
Postgresql Isn't working,"PG::ConnectionBad: could not connect to server: No such file or directory
	Is the server running locally and accepting
	connections on Unix domain socket ""/tmp/.s.PGSQL.5432""?


I cannot run any tests or access my database...?",http://stackoverflow.com/questions/8465508/can-not-connect-to-local-postgresql,"I renamed my app recently, because the heroku address was already taken."
SecretKey question and carrier wave,"When I run rspec when implementing the yelp api, the system is asking me to move my secret keys to a devise initializer file - just want to make sure I do that properly.

Also, i'm getting a missing requirements for my aws access key when I run RSpec for carrier wave.

Everything works for uploading images and when I implement the api, but I can't figure out how to trouble shoot the system error messages.",Google,"Pretty self explanatory error messages, but I'm not sure how to troubleshoot them and I want to make sure I insert the secret keys in the correct locations."
breakable toy: ActiveRecord error ,"getting this error once in a while when editing a record:

PG::InFailedSqlTransaction: ERROR: current transaction is aborted, commands ignored until end of transaction block : SELECT ""ingredients"".* FROM ""ingredients"" INNER JOIN ""compatibilities"" ON ""ingredients"".""id"" = ""compatibilities"".""match_id"" WHERE ""compatibilities"".""ingredient_id"" = $1",hard to search for this kind of thing,"the error is raised by this setter method:

  def multi_select_match_ids=(match_ids)
    self.match_ids = match_ids.split(',')
  end"
Pushing to specific heroku app that I already have,I have chaptrak.herokuapp.com . I haven't yet pushed anything to it - it is an entirely new heroku app. I want to push my slightly updated chaptrak stuff to there. ***NOTE: I am not currently hosting the oriignal chaptrak ***,"A million things on the heroku site, stax","I don't know the specifics..maybe something along the lines of 

```git push heroku master chaptrak.herokuapp.com``` 

?"
undefined method model_name nil Class,"This should be an easy fix, but I just don't where to start to troubleshoot this. ",I posted a question on stack overflow 20minutes ago. I would really like help so I can finally finish this feature.,"What's happening is that I suspect @music_video is not being initialized but I don't know why. I have my nested routes, resources, and controller defined."
Admin namespace error,My admin's controller is can't find the path that it's supposed to redirect to. So I am getting a lot of errors. Please help!,"Namespace, controller","I tried adding :admin to make the redirection clearer, but i am still getting errors. 

if @category.save
        redirect_to [:admin, 'new'], notice: ""Category is created""
      else
        render 'new'
end"
Help me Sam,Recommended method for setting up JSON feed for events,FC documentation,Integrating events with Fullcalendar / Ajax. Setting up routes / feed to fetch only wanted events
Same help request as the last,Undefined model name.,nested resources,I thought it was an oversight (it might be) but I initialized my model and created a model.rb file but it still saying its nil. I just want some help with this to quickly troubleshoot it so I don't spin my wheels all day onthis.
Still having issues with deploying to heroku,"rake aborted!
       ArgumentError: Missing required arguments: aws_access_key_id, aws_secret_access_key

My keys are in my .env file... do I need to put them elsewhere?",Went through the guides on heroku as well as ,Heroku is looking for my keys
JavaScript match method not working,"building a simple scraper, getting TypeError: Cannot call method 'match' of undefined",googled it,?
Creating objects with the proper associations using an input form,"I've set up a main model and two other models that have a many-many relationship with the main model via a join table. I want to create an instance of the main model using simple form, that allows me to also state the associations at the time of creation. I can do this in the console, so I know the associations are set up correctly, but its not saving the associations when I create the object from the form.",google,Something in my controller action is probably wrong
jquery-appended elements not showing up in browser,"I have an each method in JQuery that appends a bunch of image tags. It's not working, don't know why.","JQuery docs, stackoverflow",bad syntax? I don't know
Creating objects with the proper associations using an input form,"I've set up a main model and two other models that have a many-many relationship with the main model via a join table. I want to create an instance of the main model using simple form, that allows me to also state the associations at the time of creation. I can do this in the console, so I know the associations are set up correctly, but its not saving the associations when I create the object from the form.",google,something in my controller is wrong
best way to render a form in a js map popup window,"have done it before, but think there is probably a better way and would like to know that wayy",leaflet api recommendations,"not really a problem, but think there is probably a more simple/better way to do it."
Not sure why an event listener isn't working,above,jquery docs,above
FontAWesome,Wondering about how to properly configure fontawsome - the image isn't showing,how to configure fontawesome,It's not finding the image that it wants to find
"Failing test, pagination, worked previously", works on local server but not creating in tests,my files,"not creating posts in tests, but happens in other tests"
